Year,Month,Council,Applications,Assessments,pop
2013,10,Aberdeen City,115,45,227070
2013,11,Aberdeen City,105,75,227070
2013,12,Aberdeen City,70,40,227070
2014,1,Aberdeen City,125,45,228920
2014,2,Aberdeen City,120,95,228920
2014,3,Aberdeen City,85,85,228920
2014,4,Aberdeen City,110,55,228920
2014,5,Aberdeen City,95,90,228920
2014,6,Aberdeen City,130,125,228920
2014,7,Aberdeen City,125,130,228920
2014,8,Aberdeen City,105,120,228920
2014,9,Aberdeen City,135,85,228920
2014,10,Aberdeen City,155,95,228920
2014,11,Aberdeen City,115,95,228920
2014,12,Aberdeen City,95,75,228920
2015,1,Aberdeen City,155,95,230350
2015,2,Aberdeen City,145,170,230350
2015,3,Aberdeen City,155,110,230350
2015,4,Aberdeen City,125,120,230350
2015,5,Aberdeen City,140,125,230350
2015,6,Aberdeen City,125,110,230350
2015,7,Aberdeen City,105,140,230350
2015,8,Aberdeen City,110,80,230350
2015,9,Aberdeen City,95,95,230350
2015,10,Aberdeen City,90,85,230350
2015,11,Aberdeen City,90,60,230350
2015,12,Aberdeen City,75,100,230350
2016,1,Aberdeen City,85,45,229840
2016,2,Aberdeen City,100,80,229840
2016,3,Aberdeen City,140,120,229840
2016,4,Aberdeen City,110,105,229840
2016,5,Aberdeen City,130,100,229840
2016,6,Aberdeen City,115,100,229840
2016,7,Aberdeen City,90,95,229840
2016,8,Aberdeen City,140,110,229840
2016,9,Aberdeen City,120,125,229840
2016,10,Aberdeen City,105,85,229840
2016,11,Aberdeen City,130,95,229840
2016,12,Aberdeen City,90,95,229840
2017,1,Aberdeen City,160,85,228800
2017,2,Aberdeen City,140,130,228800
2017,3,Aberdeen City,165,105,228800
2017,4,Aberdeen City,135,125,228800
2017,5,Aberdeen City,160,145,228800
2017,6,Aberdeen City,135,125,228800
2017,7,Aberdeen City,155,120,228800
2017,8,Aberdeen City,165,120,228800
2017,9,Aberdeen City,160,135,228800
2017,10,Aberdeen City,130,105,228800
2017,11,Aberdeen City,130,100,228800
2017,12,Aberdeen City,105,95,228800
2018,1,Aberdeen City,165,90,227560
2018,2,Aberdeen City,135,115,227560
2018,3,Aberdeen City,145,105,227560
2018,4,Aberdeen City,140,120,227560
2018,5,Aberdeen City,150,120,227560
2018,6,Aberdeen City,130,125,227560
2018,7,Aberdeen City,145,115,227560
2018,8,Aberdeen City,150,120,227560
2018,9,Aberdeen City,135,110,227560
2018,10,Aberdeen City,145,125,227560
2018,11,Aberdeen City,115,95,227560
2018,12,Aberdeen City,90,90,227560
2019,1,Aberdeen City,150,95,NA
2019,2,Aberdeen City,135,90,NA
2019,3,Aberdeen City,135,100,NA
2002,4,Aberdeenshire,105,65,228830
2002,5,Aberdeenshire,95,70,228830
2002,6,Aberdeenshire,95,70,228830
2002,7,Aberdeenshire,100,50,228830
2002,8,Aberdeenshire,70,55,228830
2002,9,Aberdeenshire,95,55,228830
2002,10,Aberdeenshire,105,65,228830
2002,11,Aberdeenshire,95,65,228830
2002,12,Aberdeenshire,65,50,228830
2003,1,Aberdeenshire,140,95,231250
2003,2,Aberdeenshire,95,75,231250
2003,3,Aberdeenshire,105,65,231250
2003,4,Aberdeenshire,95,55,231250
2003,5,Aberdeenshire,95,75,231250
2003,6,Aberdeenshire,115,75,231250
2003,7,Aberdeenshire,105,65,231250
2003,8,Aberdeenshire,95,70,231250
2003,9,Aberdeenshire,100,65,231250
2003,10,Aberdeenshire,85,65,231250
2003,11,Aberdeenshire,85,55,231250
2003,12,Aberdeenshire,85,55,231250
2004,1,Aberdeenshire,115,80,234690
2004,2,Aberdeenshire,105,65,234690
2004,3,Aberdeenshire,110,65,234690
2004,4,Aberdeenshire,120,80,234690
2004,5,Aberdeenshire,105,70,234690
2004,6,Aberdeenshire,95,55,234690
2004,7,Aberdeenshire,120,90,234690
2004,8,Aberdeenshire,115,75,234690
2004,9,Aberdeenshire,135,80,234690
2004,10,Aberdeenshire,125,85,234690
2004,11,Aberdeenshire,115,80,234690
2004,12,Aberdeenshire,70,65,234690
2005,1,Aberdeenshire,135,55,237570
2005,2,Aberdeenshire,120,65,237570
2005,3,Aberdeenshire,140,90,237570
2005,4,Aberdeenshire,125,95,237570
2005,5,Aberdeenshire,130,80,237570
2005,6,Aberdeenshire,140,75,237570
2005,7,Aberdeenshire,120,65,237570
2005,8,Aberdeenshire,125,95,237570
2005,9,Aberdeenshire,120,65,237570
2005,10,Aberdeenshire,120,70,237570
2005,11,Aberdeenshire,100,70,237570
2005,12,Aberdeenshire,105,70,237570
2006,1,Aberdeenshire,145,75,241180
2006,2,Aberdeenshire,110,65,241180
2006,3,Aberdeenshire,130,95,241180
2006,4,Aberdeenshire,120,80,241180
2006,5,Aberdeenshire,140,80,241180
2006,6,Aberdeenshire,145,90,241180
2006,7,Aberdeenshire,120,110,241180
2006,8,Aberdeenshire,140,75,241180
2006,9,Aberdeenshire,150,110,241180
2006,10,Aberdeenshire,150,85,241180
2006,11,Aberdeenshire,135,100,241180
2006,12,Aberdeenshire,80,70,241180
2007,1,Aberdeenshire,175,105,244390
2007,2,Aberdeenshire,145,90,244390
2007,3,Aberdeenshire,145,120,244390
2007,4,Aberdeenshire,135,60,244390
2007,5,Aberdeenshire,160,100,244390
2007,6,Aberdeenshire,145,90,244390
2007,7,Aberdeenshire,130,95,244390
2007,8,Aberdeenshire,130,100,244390
2007,9,Aberdeenshire,115,70,244390
2007,10,Aberdeenshire,140,100,244390
2007,11,Aberdeenshire,125,90,244390
