Year,Month,Council,Applications,Assessments,pop
2012,1,Dundee City,140,125,147780
2012,2,Dundee City,150,130,147780
2012,3,Dundee City,170,115,147780
2012,4,Dundee City,120,110,147780
2012,5,Dundee City,135,115,147780
2012,6,Dundee City,140,120,147780
2012,7,Dundee City,145,85,147780
2012,8,Dundee City,145,95,147780
2012,9,Dundee City,115,110,147780
2012,10,Dundee City,105,75,147780
2012,11,Dundee City,125,115,147780
2012,12,Dundee City,85,70,147780
2013,1,Dundee City,110,100,148100
2013,2,Dundee City,130,95,148100
2013,3,Dundee City,115,80,148100
2013,4,Dundee City,110,100,148100
2013,5,Dundee City,125,90,148100
2013,6,Dundee City,110,90,148100
2013,7,Dundee City,135,105,148100
2013,8,Dundee City,100,80,148100
2013,9,Dundee City,105,90,148100
2013,10,Dundee City,125,90,148100
2013,11,Dundee City,125,85,148100
2013,12,Dundee City,70,70,148100
2014,1,Dundee City,120,85,148130
2014,2,Dundee City,145,95,148130
2014,3,Dundee City,140,120,148130
2014,4,Dundee City,130,115,148130
2014,5,Dundee City,130,100,148130
2014,6,Dundee City,125,75,148130
2014,7,Dundee City,110,85,148130
2014,8,Dundee City,110,85,148130
2014,9,Dundee City,150,100,148130
2014,10,Dundee City,130,115,148130
2014,11,Dundee City,115,95,148130
2014,12,Dundee City,90,75,148130
2015,1,Dundee City,125,85,148210
2015,2,Dundee City,110,100,148210
2015,3,Dundee City,125,85,148210
2015,4,Dundee City,130,60,148210
2015,5,Dundee City,95,75,148210
2015,6,Dundee City,120,60,148210
2015,7,Dundee City,170,75,148210
2015,8,Dundee City,130,115,148210
2015,9,Dundee City,110,120,148210
2015,10,Dundee City,135,80,148210
2015,11,Dundee City,120,135,148210
2015,12,Dundee City,115,95,148210
2016,1,Dundee City,90,80,148270
2016,2,Dundee City,120,90,148270
2016,3,Dundee City,130,100,148270
2016,4,Dundee City,130,95,148270
2016,5,Dundee City,120,105,148270
2016,6,Dundee City,95,70,148270
2016,7,Dundee City,105,55,148270
2016,8,Dundee City,95,105,148270
2016,9,Dundee City,100,80,148270
2016,10,Dundee City,110,70,148270
2016,11,Dundee City,105,95,148270
2016,12,Dundee City,70,55,148270
2017,1,Dundee City,95,65,148710
2017,2,Dundee City,110,60,148710
2017,3,Dundee City,130,90,148710
2017,4,Dundee City,85,75,148710
2017,5,Dundee City,120,75,148710
2017,6,Dundee City,120,90,148710
2017,7,Dundee City,110,75,148710
2017,8,Dundee City,135,90,148710
2017,9,Dundee City,115,95,148710
2017,10,Dundee City,135,100,148710
2017,11,Dundee City,110,90,148710
2017,12,Dundee City,85,65,148710
2018,1,Dundee City,135,85,148750
2018,2,Dundee City,100,95,148750
2018,3,Dundee City,155,85,148750
2018,4,Dundee City,130,110,148750
2018,5,Dundee City,140,100,148750
2018,6,Dundee City,95,70,148750
2018,7,Dundee City,130,75,148750
2018,8,Dundee City,115,100,148750
2018,9,Dundee City,125,70,148750
2018,10,Dundee City,135,100,148750
2018,11,Dundee City,135,105,148750
2018,12,Dundee City,90,55,148750
2019,1,Dundee City,125,80,NA
2019,2,Dundee City,130,80,NA
2019,3,Dundee City,115,70,NA
2002,4,East Ayrshire,85,60,119920
2002,5,East Ayrshire,60,45,119920
2002,6,East Ayrshire,70,60,119920
2002,7,East Ayrshire,85,65,119920
2002,8,East Ayrshire,100,60,119920
2002,9,East Ayrshire,95,75,119920
2002,10,East Ayrshire,80,60,119920
2002,11,East Ayrshire,75,60,119920
2002,12,East Ayrshire,50,30,119920
2003,1,East Ayrshire,100,85,119850
2003,2,East Ayrshire,75,70,119850
2003,3,East Ayrshire,75,55,119850
2003,4,East Ayrshire,80,65,119850
2003,5,East Ayrshire,65,55,119850
2003,6,East Ayrshire,90,80,119850
2003,7,East Ayrshire,100,70,119850
2003,8,East Ayrshire,80,45,119850
2003,9,East Ayrshire,85,70,119850
2003,10,East Ayrshire,100,70,119850
2003,11,East Ayrshire,85,60,119850
2003,12,East Ayrshire,60,60,119850
2004,1,East Ayrshire,85,65,120210
2004,2,East Ayrshire,100,75,120210
2004,3,East Ayrshire,90,75,120210
2004,4,East Ayrshire,90,75,120210
2004,5,East Ayrshire,95,75,120210
2004,6,East Ayrshire,110,60,120210
2004,7,East Ayrshire,85,85,120210
2004,8,East Ayrshire,100,65,120210
2004,9,East Ayrshire,95,70,120210
2004,10,East Ayrshire,110,80,120210
2004,11,East Ayrshire,85,75,120210
2004,12,East Ayrshire,65,45,120210
2005,1,East Ayrshire,115,80,120280
2005,2,East Ayrshire,120,95,120280
2005,3,East Ayrshire,115,85,120280
2005,4,East Ayrshire,100,85,120280
2005,5,East Ayrshire,115,85,120280
2005,6,East Ayrshire,105,75,120280
2005,7,East Ayrshire,95,75,120280
2005,8,East Ayrshire,125,90,120280
2005,9,East Ayrshire,95,70,120280
2005,10,East Ayrshire,105,65,120280
2005,11,East Ayrshire,95,70,120280
2005,12,East Ayrshire,60,55,120280
2006,1,East Ayrshire,125,85,120440
2006,2,East Ayrshire,105,80,120440
2006,3,East Ayrshire,120,75,120440
2006,4,East Ayrshire,90,70,120440
2006,5,East Ayrshire,110,90,120440
2006,6,East Ayrshire,105,70,120440
2006,7,East Ayrshire,110,80,120440
2006,8,East Ayrshire,100,70,120440
2006,9,East Ayrshire,85,60,120440
2006,10,East Ayrshire,125,60,120440
2006,11,East Ayrshire,100,70,120440
2006,12,East Ayrshire,55,60,120440
2007,1,East Ayrshire,110,70,120950
2007,2,East Ayrshire,100,85,120950
2007,3,East Ayrshire,100,70,120950
2007,4,East Ayrshire,85,65,120950
2007,5,East Ayrshire,85,80,120950
2007,6,East Ayrshire,75,55,120950
2007,7,East Ayrshire,90,60,120950
2007,8,East Ayrshire,100,70,120950
2007,9,East Ayrshire,75,45,120950
2007,10,East Ayrshire,85,60,120950
2007,11,East Ayrshire,90,45,120950
2007,12,East Ayrshire,50,40,120950
2008,1,East Ayrshire,95,40,121600
2008,2,East Ayrshire,110,85,121600
2008,3,East Ayrshire,80,60,121600
2008,4,East Ayrshire,115,75,121600
2008,5,East Ayrshire,95,80,121600
2008,6,East Ayrshire,85,70,121600
2008,7,East Ayrshire,90,60,121600
2008,8,East Ayrshire,70,45,121600
2008,9,East Ayrshire,60,60,121600
2008,10,East Ayrshire,115,65,121600
2008,11,East Ayrshire,70,65,121600
2008,12,East Ayrshire,45,45,121600
2009,1,East Ayrshire,75,45,122110
2009,2,East Ayrshire,75,50,122110
2009,3,East Ayrshire,90,65,122110
2009,4,East Ayrshire,75,65,122110
2009,5,East Ayrshire,70,45,122110
2009,6,East Ayrshire,80,60,122110
2009,7,East Ayrshire,55,55,122110
2009,8,East Ayrshire,65,50,122110
2009,9,East Ayrshire,75,55,122110
2009,10,East Ayrshire,50,50,122110
2009,11,East Ayrshire,65,55,122110
2009,12,East Ayrshire,35,40,122110
2010,1,East Ayrshire,60,35,122410
2010,2,East Ayrshire,90,55,122410
2010,3,East Ayrshire,100,100,122410
2010,4,East Ayrshire,80,60,122410
2010,5,East Ayrshire,75,50,122410
2010,6,East Ayrshire,90,75,122410
2010,7,East Ayrshire,65,65,122410
2010,8,East Ayrshire,85,55,122410
2010,9,East Ayrshire,55,60,122410
2010,10,East Ayrshire,60,45,122410
2010,11,East Ayrshire,60,50,122410
2010,12,East Ayrshire,30,50,122410
2011,1,East Ayrshire,65,40,122690
2011,2,East Ayrshire,55,50,122690
2011,3,East Ayrshire,80,60,122690
2011,4,East Ayrshire,55,50,122690
2011,5,East Ayrshire,60,40,122690
2011,6,East Ayrshire,60,50,122690
2011,7,East Ayrshire,60,50,122690
2011,8,East Ayrshire,75,65,122690
2011,9,East Ayrshire,55,50,122690
2011,10,East Ayrshire,50,45,122690
2011,11,East Ayrshire,55,50,122690
2011,12,East Ayrshire,25,40,122690
2012,1,East Ayrshire,50,30,122730
2012,2,East Ayrshire,50,40,122730
2012,3,East Ayrshire,50,45,122730
2012,4,East Ayrshire,50,35,122730
2012,5,East Ayrshire,45,55,122730
2012,6,East Ayrshire,40,25,122730
2012,7,East Ayrshire,40,40,122730
2012,8,East Ayrshire,60,40,122730
2012,9,East Ayrshire,40,35,122730
2012,10,East Ayrshire,30,40,122730
2012,11,East Ayrshire,30,25,122730
2012,12,East Ayrshire,10,25,122730
2013,1,East Ayrshire,50,15,122430
2013,2,East Ayrshire,55,45,122430
2013,3,East Ayrshire,15,30,122430
2013,4,East Ayrshire,25,15,122430
2013,5,East Ayrshire,20,20,122430
2013,6,East Ayrshire,25,15,122430
2013,7,East Ayrshire,35,25,122430
2013,8,East Ayrshire,30,25,122430
2013,9,East Ayrshire,20,15,122430
2013,10,East Ayrshire,30,25,122430
2013,11,East Ayrshire,30,25,122430
2013,12,East Ayrshire,15,20,122430
2014,1,East Ayrshire,35,20,122130
2014,2,East Ayrshire,30,30,122130
2014,3,East Ayrshire,35,25,122130
2014,4,East Ayrshire,35,30,122130
2014,5,East Ayrshire,50,25,122130
2014,6,East Ayrshire,40,45,122130
2014,7,East Ayrshire,45,35,122130
2014,8,East Ayrshire,45,30,122130
2014,9,East Ayrshire,30,35,122130
2014,10,East Ayrshire,50,30,122130
2014,11,East Ayrshire,35,30,122130
2014,12,East Ayrshire,30,30,122130
2015,1,East Ayrshire,50,30,122060
2015,2,East Ayrshire,50,40,122060
2015,3,East Ayrshire,55,40,122060
2015,4,East Ayrshire,40,35,122060
2015,5,East Ayrshire,30,30,122060
2015,6,East Ayrshire,45,30,122060
2015,7,East Ayrshire,40,50,122060
2015,8,East Ayrshire,40,20,122060
2015,9,East Ayrshire,45,40,122060
2015,10,East Ayrshire,35,45,122060
2015,11,East Ayrshire,45,40,122060
2015,12,East Ayrshire,30,35,122060
2016,1,East Ayrshire,50,35,122200
2016,2,East Ayrshire,50,35,122200
2016,3,East Ayrshire,55,40,122200
2016,4,East Ayrshire,50,30,122200
2016,5,East Ayrshire,50,35,122200
2016,6,East Ayrshire,45,40,122200
2016,7,East Ayrshire,55,45,122200
2016,8,East Ayrshire,45,40,122200
2016,9,East Ayrshire,50,40,122200
2016,10,East Ayrshire,50,45,122200
2016,11,East Ayrshire,50,35,122200
2016,12,East Ayrshire,35,40,122200
2017,1,East Ayrshire,50,25,121940
2017,2,East Ayrshire,50,40,121940
2017,3,East Ayrshire,50,50,121940
2017,4,East Ayrshire,40,35,121940
2017,5,East Ayrshire,40,40,121940
2017,6,East Ayrshire,45,30,121940
2017,7,East Ayrshire,40,40,121940
2017,8,East Ayrshire,45,20,121940
2017,9,East Ayrshire,45,40,121940
2017,10,East Ayrshire,55,40,121940
2017,11,East Ayrshire,60,40,121940
2017,12,East Ayrshire,45,60,121940
2018,1,East Ayrshire,65,30,121840
2018,2,East Ayrshire,70,65,121840
2018,3,East Ayrshire,70,55,121840
2018,4,East Ayrshire,65,40,121840
2018,5,East Ayrshire,70,55,121840
2018,6,East Ayrshire,80,60,121840
2018,7,East Ayrshire,65,60,121840
2018,8,East Ayrshire,85,45,121840
2018,9,East Ayrshire,55,65,121840
2018,10,East Ayrshire,85,55,121840
2018,11,East Ayrshire,60,45,121840
2018,12,East Ayrshire,40,50,121840
2019,1,East Ayrshire,75,30,NA
2019,2,East Ayrshire,65,50,NA
2019,3,East Ayrshire,70,60,NA
2002,4,East Dunbartonshire,50,15,107350
2002,5,East Dunbartonshire,35,30,107350
2002,6,East Dunbartonshire,35,10,107350
2002,7,East Dunbartonshire,45,30,107350
2002,8,East Dunbartonshire,30,25,107350
2002,9,East Dunbartonshire,45,25,107350
2002,10,East Dunbartonshire,50,35,107350
2002,11,East Dunbartonshire,45,25,107350
2002,12,East Dunbartonshire,20,20,107350
2003,1,East Dunbartonshire,50,20,107000
2003,2,East Dunbartonshire,65,15,107000
2003,3,East Dunbartonshire,50,30,107000
2003,4,East Dunbartonshire,55,35,107000
2003,5,East Dunbartonshire,60,40,107000
2003,6,East Dunbartonshire,55,30,107000
2003,7,East Dunbartonshire,65,30,107000
2003,8,East Dunbartonshire,55,60,107000
2003,9,East Dunbartonshire,45,35,107000
2003,10,East Dunbartonshire,55,25,107000
2003,11,East Dunbartonshire,40,40,107000
2003,12,East Dunbartonshire,25,25,107000
2004,1,East Dunbartonshire,60,15,106540
2004,2,East Dunbartonshire,65,40,106540
2004,3,East Dunbartonshire,55,40,106540
2004,4,East Dunbartonshire,45,25,106540
2004,5,East Dunbartonshire,50,25,106540
2004,6,East Dunbartonshire,50,30,106540
2004,7,East Dunbartonshire,45,15,106540
2004,8,East Dunbartonshire,55,30,106540
2004,9,East Dunbartonshire,45,30,106540
2004,10,East Dunbartonshire,45,30,106540
2004,11,East Dunbartonshire,45,30,106540
2004,12,East Dunbartonshire,30,45,106540
2005,1,East Dunbartonshire,55,15,106040
2005,2,East Dunbartonshire,45,35,106040
2005,3,East Dunbartonshire,55,30,106040
2005,4,East Dunbartonshire,45,30,106040
2005,5,East Dunbartonshire,45,40,106040
2005,6,East Dunbartonshire,45,35,106040
2005,7,East Dunbartonshire,40,35,106040
2005,8,East Dunbartonshire,55,25,106040
2005,9,East Dunbartonshire,50,35,106040
2005,10,East Dunbartonshire,55,45,106040
2005,11,East Dunbartonshire,55,45,106040
2005,12,East Dunbartonshire,40,20,106040
2006,1,East Dunbartonshire,45,30,105590
2006,2,East Dunbartonshire,55,25,105590
2006,3,East Dunbartonshire,50,30,105590
2006,4,East Dunbartonshire,50,25,105590
2006,5,East Dunbartonshire,60,40,105590
2006,6,East Dunbartonshire,55,35,105590
2006,7,East Dunbartonshire,55,45,105590
2006,8,East Dunbartonshire,75,60,105590
2006,9,East Dunbartonshire,55,35,105590
2006,10,East Dunbartonshire,60,40,105590
2006,11,East Dunbartonshire,65,40,105590
2006,12,East Dunbartonshire,25,20,105590
2007,1,East Dunbartonshire,55,30,105050
2007,2,East Dunbartonshire,45,45,105050
2007,3,East Dunbartonshire,55,40,105050
2007,4,East Dunbartonshire,60,40,105050
2007,5,East Dunbartonshire,70,40,105050
2007,6,East Dunbartonshire,55,50,105050
2007,7,East Dunbartonshire,55,35,105050
2007,8,East Dunbartonshire,60,40,105050
2007,9,East Dunbartonshire,50,35,105050
2007,10,East Dunbartonshire,65,50,105050
2007,11,East Dunbartonshire,70,45,105050
2007,12,East Dunbartonshire,25,40,105050
2008,1,East Dunbartonshire,60,30,104940
2008,2,East Dunbartonshire,70,45,104940
2008,3,East Dunbartonshire,55,55,104940
2008,4,East Dunbartonshire,55,40,104940
2008,5,East Dunbartonshire,45,30,104940
2008,6,East Dunbartonshire,60,30,104940
2008,7,East Dunbartonshire,60,35,104940
2008,8,East Dunbartonshire,65,45,104940
2008,9,East Dunbartonshire,65,40,104940
2008,10,East Dunbartonshire,55,50,104940
2008,11,East Dunbartonshire,50,30,104940
2008,12,East Dunbartonshire,35,25,104940
2009,1,East Dunbartonshire,60,30,104960
2009,2,East Dunbartonshire,55,40,104960
2009,3,East Dunbartonshire,65,50,104960
2009,4,East Dunbartonshire,50,25,104960
2009,5,East Dunbartonshire,50,40,104960
2009,6,East Dunbartonshire,55,30,104960
2009,7,East Dunbartonshire,70,45,104960
2009,8,East Dunbartonshire,65,50,104960
2009,9,East Dunbartonshire,70,50,104960
2009,10,East Dunbartonshire,50,45,104960
2009,11,East Dunbartonshire,60,40,104960
2009,12,East Dunbartonshire,50,40,104960
2010,1,East Dunbartonshire,60,25,104920
2010,2,East Dunbartonshire,65,40,104920
2010,3,East Dunbartonshire,70,55,104920
2010,4,East Dunbartonshire,60,40,104920
2010,5,East Dunbartonshire,50,40,104920
2010,6,East Dunbartonshire,70,35,104920
2010,7,East Dunbartonshire,70,45,104920
2010,8,East Dunbartonshire,60,35,104920
2010,9,East Dunbartonshire,65,35,104920
2010,10,East Dunbartonshire,50,30,104920
2010,11,East Dunbartonshire,50,35,104920
2010,12,East Dunbartonshire,30,25,104920
2011,1,East Dunbartonshire,60,55,105000
2011,2,East Dunbartonshire,65,40,105000
2011,3,East Dunbartonshire,70,45,105000
2011,4,East Dunbartonshire,45,35,105000
2011,5,East Dunbartonshire,55,30,105000
2011,6,East Dunbartonshire,75,45,105000
2011,7,East Dunbartonshire,40,40,105000
2011,8,East Dunbartonshire,80,45,105000
2011,9,East Dunbartonshire,60,65,105000
2011,10,East Dunbartonshire,50,35,105000
2011,11,East Dunbartonshire,55,45,105000
2011,12,East Dunbartonshire,15,20,105000
2012,1,East Dunbartonshire,50,20,105880
2012,2,East Dunbartonshire,60,45,105880
2012,3,East Dunbartonshire,55,30,105880
2012,4,East Dunbartonshire,45,35,105880
2012,5,East Dunbartonshire,50,30,105880
2012,6,East Dunbartonshire,35,30,105880
2012,7,East Dunbartonshire,45,30,105880
2012,8,East Dunbartonshire,45,45,105880
2012,9,East Dunbartonshire,40,30,105880
2012,10,East Dunbartonshire,50,40,105880
2012,11,East Dunbartonshire,35,35,105880
2012,12,East Dunbartonshire,20,15,105880
2013,1,East Dunbartonshire,50,30,105840
2013,2,East Dunbartonshire,40,30,105840
2013,3,East Dunbartonshire,35,25,105840
2013,4,East Dunbartonshire,45,35,105840
2013,5,East Dunbartonshire,60,45,105840
2013,6,East Dunbartonshire,45,35,105840
2013,7,East Dunbartonshire,60,35,105840
2013,8,East Dunbartonshire,50,45,105840
2013,9,East Dunbartonshire,45,45,105840
2013,10,East Dunbartonshire,65,50,105840
2013,11,East Dunbartonshire,40,40,105840
2013,12,East Dunbartonshire,35,35,105840
2014,1,East Dunbartonshire,50,25,106710
2014,2,East Dunbartonshire,60,35,106710
2014,3,East Dunbartonshire,60,55,106710
2014,4,East Dunbartonshire,60,40,106710
2014,5,East Dunbartonshire,65,40,106710
2014,6,East Dunbartonshire,55,55,106710
2014,7,East Dunbartonshire,65,40,106710
2014,8,East Dunbartonshire,55,60,106710
2014,9,East Dunbartonshire,40,35,106710
2014,10,East Dunbartonshire,55,35,106710
2014,11,East Dunbartonshire,35,35,106710
2014,12,East Dunbartonshire,30,30,106710
2015,1,East Dunbartonshire,50,25,106960
2015,2,East Dunbartonshire,55,45,106960
2015,3,East Dunbartonshire,55,40,106960
2015,4,East Dunbartonshire,55,50,106960
2015,5,East Dunbartonshire,55,50,106960
2015,6,East Dunbartonshire,45,50,106960
2015,7,East Dunbartonshire,50,40,106960
2015,8,East Dunbartonshire,35,30,106960
2015,9,East Dunbartonshire,50,40,106960
2015,10,East Dunbartonshire,30,20,106960
2015,11,East Dunbartonshire,40,35,106960
2015,12,East Dunbartonshire,25,20,106960
2016,1,East Dunbartonshire,35,30,107540
2016,2,East Dunbartonshire,40,35,107540
2016,3,East Dunbartonshire,50,30,107540
2016,4,East Dunbartonshire,45,40,107540
2016,5,East Dunbartonshire,45,35,107540
2016,6,East Dunbartonshire,50,35,107540
2016,7,East Dunbartonshire,40,30,107540
2016,8,East Dunbartonshire,55,30,107540
2016,9,East Dunbartonshire,60,55,107540
2016,10,East Dunbartonshire,45,35,107540
2016,11,East Dunbartonshire,35,25,107540
2016,12,East Dunbartonshire,20,15,107540
2017,1,East Dunbartonshire,45,30,108130
2017,2,East Dunbartonshire,40,35,108130
2017,3,East Dunbartonshire,45,30,108130
2017,4,East Dunbartonshire,35,25,108130
2017,5,East Dunbartonshire,35,35,108130
2017,6,East Dunbartonshire,35,20,108130
2017,7,East Dunbartonshire,35,30,108130
2017,8,East Dunbartonshire,40,35,108130
2017,9,East Dunbartonshire,40,35,108130
2017,10,East Dunbartonshire,30,30,108130
2017,11,East Dunbartonshire,45,25,108130
2017,12,East Dunbartonshire,20,20,108130
2018,1,East Dunbartonshire,40,25,108330
2018,2,East Dunbartonshire,40,25,108330
2018,3,East Dunbartonshire,50,40,108330
2018,4,East Dunbartonshire,35,30,108330
2018,5,East Dunbartonshire,45,40,108330
2018,6,East Dunbartonshire,30,20,108330
2018,7,East Dunbartonshire,40,30,108330
2018,8,East Dunbartonshire,40,30,108330
2018,9,East Dunbartonshire,45,30,108330
2018,10,East Dunbartonshire,35,20,108330
2018,11,East Dunbartonshire,30,20,108330
2018,12,East Dunbartonshire,20,20,108330
2019,1,East Dunbartonshire,30,15,NA
2019,2,East Dunbartonshire,35,25,NA
2019,3,East Dunbartonshire,40,25,NA
2002,4,East Lothian,95,65,91060
2002,5,East Lothian,70,50,91060
2002,6,East Lothian,55,40,91060
2002,7,East Lothian,65,45,91060
2002,8,East Lothian,65,50,91060
2002,9,East Lothian,60,35,91060
2002,10,East Lothian,80,55,91060
2002,11,East Lothian,55,40,91060
2002,12,East Lothian,55,40,91060
2003,1,East Lothian,75,55,91640
2003,2,East Lothian,85,45,91640
2003,3,East Lothian,75,45,91640
2003,4,East Lothian,70,40,91640
2003,5,East Lothian,70,45,91640
2003,6,East Lothian,80,40,91640
2003,7,East Lothian,85,55,91640
2003,8,East Lothian,70,45,91640
2003,9,East Lothian,75,60,91640
2003,10,East Lothian,85,30,91640
2003,11,East Lothian,70,40,91640
2003,12,East Lothian,40,30,91640
2004,1,East Lothian,90,50,92170
2004,2,East Lothian,80,65,92170
2004,3,East Lothian,80,55,92170
2004,4,East Lothian,100,50,92170
2004,5,East Lothian,85,55,92170
2004,6,East Lothian,90,45,92170
2004,7,East Lothian,80,50,92170
2004,8,East Lothian,75,40,92170
2004,9,East Lothian,70,60,92170
2004,10,East Lothian,60,35,92170
2004,11,East Lothian,75,40,92170
2004,12,East Lothian,50,30,92170
2005,1,East Lothian,100,50,92730
2005,2,East Lothian,85,50,92730
2005,3,East Lothian,100,65,92730
2005,4,East Lothian,80,55,92730
2005,5,East Lothian,95,60,92730
2005,6,East Lothian,90,65,92730
2005,7,East Lothian,70,50,92730
2005,8,East Lothian,85,65,92730
2005,9,East Lothian,75,45,92730
2005,10,East Lothian,85,60,92730
2005,11,East Lothian,125,65,92730
2005,12,East Lothian,55,45,92730
2006,1,East Lothian,105,65,93850
2006,2,East Lothian,130,60,93850
2006,3,East Lothian,120,85,93850
2006,4,East Lothian,80,50,93850
2006,5,East Lothian,115,80,93850
2006,6,East Lothian,110,75,93850
2006,7,East Lothian,95,45,93850
2006,8,East Lothian,130,80,93850
2006,9,East Lothian,80,60,93850
2006,10,East Lothian,105,90,93850
2006,11,East Lothian,90,40,93850
2006,12,East Lothian,55,30,93850
2007,1,East Lothian,105,50,95570
2007,2,East Lothian,110,70,95570
2007,3,East Lothian,95,55,95570
2007,4,East Lothian,95,65,95570
2007,5,East Lothian,105,65,95570
2007,6,East Lothian,85,50,95570
2007,7,East Lothian,80,50,95570
2007,8,East Lothian,110,65,95570
2007,9,East Lothian,75,50,95570
2007,10,East Lothian,115,70,95570
2007,11,East Lothian,100,55,95570
2007,12,East Lothian,60,55,95570
2008,1,East Lothian,105,75,97480
2008,2,East Lothian,100,70,97480
2008,3,East Lothian,85,70,97480
2008,4,East Lothian,115,75,97480
2008,5,East Lothian,105,75,97480
2008,6,East Lothian,105,85,97480
2008,7,East Lothian,95,70,97480
2008,8,East Lothian,100,60,97480
2008,9,East Lothian,105,70,97480
2008,10,East Lothian,105,65,97480
2008,11,East Lothian,65,65,97480
2008,12,East Lothian,60,50,97480
2009,1,East Lothian,90,55,98340
2009,2,East Lothian,90,65,98340
2009,3,East Lothian,105,100,98340
2009,4,East Lothian,100,70,98340
2009,5,East Lothian,105,95,98340
2009,6,East Lothian,95,80,98340
2009,7,East Lothian,125,75,98340
2009,8,East Lothian,105,95,98340
2009,9,East Lothian,110,75,98340
2009,10,East Lothian,105,100,98340
2009,11,East Lothian,80,65,98340
2009,12,East Lothian,60,70,98340
2010,1,East Lothian,90,50,99140
2010,2,East Lothian,90,85,99140
2010,3,East Lothian,125,90,99140
2010,4,East Lothian,105,90,99140
2010,5,East Lothian,90,65,99140
2010,6,East Lothian,95,75,99140
2010,7,East Lothian,110,85,99140
2010,8,East Lothian,125,85,99140
2010,9,East Lothian,115,100,99140
2010,10,East Lothian,100,95,99140
2010,11,East Lothian,85,50,99140
2010,12,East Lothian,50,60,99140
2011,1,East Lothian,115,80,99920
2011,2,East Lothian,95,60,99920
2011,3,East Lothian,115,90,99920
2011,4,East Lothian,75,70,99920
2011,5,East Lothian,85,75,99920
2011,6,East Lothian,70,60,99920
2011,7,East Lothian,40,45,99920
2011,8,East Lothian,60,50,99920
2011,9,East Lothian,60,60,99920
2011,10,East Lothian,50,50,99920
2011,11,East Lothian,70,45,99920
2011,12,East Lothian,40,45,99920
2012,1,East Lothian,65,50,100860
2012,2,East Lothian,75,65,100860
2012,3,East Lothian,80,75,100860
2012,4,East Lothian,70,60,100860
2012,5,East Lothian,60,65,100860
2012,6,East Lothian,55,55,100860
2012,7,East Lothian,70,50,100860
2012,8,East Lothian,55,45,100860
2012,9,East Lothian,55,45,100860
2012,10,East Lothian,70,65,100860
2012,11,East Lothian,50,50,100860
2012,12,East Lothian,30,30,100860
2013,1,East Lothian,65,50,101390
2013,2,East Lothian,45,45,101390
2013,3,East Lothian,50,30,101390
2013,4,East Lothian,60,55,101390
2013,5,East Lothian,55,55,101390
2013,6,East Lothian,55,40,101390
2013,7,East Lothian,55,45,101390
2013,8,East Lothian,80,65,101390
2013,9,East Lothian,45,55,101390
2013,10,East Lothian,65,45,101390
2013,11,East Lothian,50,50,101390
2013,12,East Lothian,40,40,101390
2014,1,East Lothian,75,55,102090
2014,2,East Lothian,50,50,102090
2014,3,East Lothian,55,50,102090
2014,4,East Lothian,55,45,102090
2014,5,East Lothian,60,50,102090
2014,6,East Lothian,60,60,102090
2014,7,East Lothian,80,55,102090
2014,8,East Lothian,70,65,102090
2014,9,East Lothian,60,55,102090
2014,10,East Lothian,65,65,102090
2014,11,East Lothian,45,40,102090
2014,12,East Lothian,40,40,102090
2015,1,East Lothian,60,40,103050
2015,2,East Lothian,70,60,103050
2015,3,East Lothian,60,45,103050
2015,4,East Lothian,65,55,103050
2015,5,East Lothian,60,60,103050
2015,6,East Lothian,65,50,103050
2015,7,East Lothian,70,55,103050
2015,8,East Lothian,65,55,103050
2015,9,East Lothian,55,45,103050
2015,10,East Lothian,50,55,103050
2015,11,East Lothian,50,30,103050
2015,12,East Lothian,55,50,103050
2016,1,East Lothian,50,45,104090
2016,2,East Lothian,50,35,104090
2016,3,East Lothian,50,50,104090
2016,4,East Lothian,60,60,104090
2016,5,East Lothian,70,55,104090
2016,6,East Lothian,60,45,104090
2016,7,East Lothian,60,60,104090
2016,8,East Lothian,80,60,104090
2016,9,East Lothian,50,55,104090
2016,10,East Lothian,70,45,104090
2016,11,East Lothian,55,60,104090
2016,12,East Lothian,45,40,104090
2017,1,East Lothian,65,45,104840
2017,2,East Lothian,70,65,104840
2017,3,East Lothian,75,65,104840
2017,4,East Lothian,60,45,104840
2017,5,East Lothian,80,60,104840
2017,6,East Lothian,60,60,104840
2017,7,East Lothian,55,50,104840
2017,8,East Lothian,60,50,104840
2017,9,East Lothian,65,40,104840
2017,10,East Lothian,80,75,104840
2017,11,East Lothian,75,65,104840
2017,12,East Lothian,45,40,104840
2018,1,East Lothian,80,60,105790
2018,2,East Lothian,60,55,105790
2018,3,East Lothian,75,55,105790
2018,4,East Lothian,65,65,105790
2018,5,East Lothian,60,45,105790
2018,6,East Lothian,60,60,105790
2018,7,East Lothian,70,40,105790
2018,8,East Lothian,105,80,105790
2018,9,East Lothian,50,50,105790
2018,10,East Lothian,75,75,105790
2018,11,East Lothian,60,40,105790
2018,12,East Lothian,55,45,105790
2019,1,East Lothian,60,55,NA
2019,2,East Lothian,65,55,NA
2019,3,East Lothian,65,55,NA
2002,4,East Renfrewshire,35,15,89930
2002,5,East Renfrewshire,25,10,89930
2002,6,East Renfrewshire,35,10,89930
2002,7,East Renfrewshire,35,15,89930
2002,8,East Renfrewshire,35,20,89930
2002,9,East Renfrewshire,35,10,89930
2002,10,East Renfrewshire,35,20,89930
2002,11,East Renfrewshire,30,10,89930
